passage_id,article_id,event_id,clean_outlet,framing_label,canonical_target,sentiment,confidence,evidence_span
fffa3fa866d842d8_p001,fffa3fa866d842d8,EVT_00007,news18,Parse Error,Unknown,Neutral,0.0,LLM Parse Error
fffa3fa866d842d8_p002,fffa3fa866d842d8,EVT_00007,news18,Parse Error,Unknown,Neutral,0.0,LLM Parse Error
fffa3fa866d842d8_p003,fffa3fa866d842d8,EVT_00007,news18,Parse Error,Unknown,Neutral,0.0,LLM Parse Error
fffa3fa866d842d8_p004,fffa3fa866d842d8,EVT_00007,news18,Parse Error,Unknown,Neutral,0.0,LLM Parse Error
fffa3fa866d842d8_p005,fffa3fa866d842d8,EVT_00007,news18,Parse Error,Unknown,Neutral,0.0,LLM Parse Error
fffa3fa866d842d8_p006,fffa3fa866d842d8,EVT_00007,news18,Parse Error,Unknown,Neutral,0.0,LLM Parse Error
fffa3fa866d842d8_p007,fffa3fa866d842d8,EVT_00007,news18,Parse Error,Unknown,Neutral,0.0,LLM Parse Error
fffa3fa866d842d8_p008,fffa3fa866d842d8,EVT_00007,news18,Parse Error,Unknown,Neutral,0.0,LLM Parse Error
fffa3fa866d842d8_p009,fffa3fa866d842d8,EVT_00007,news18,Parse Error,Unknown,Neutral,0.0,LLM Parse Error
fffa3fa866d842d8_p010,fffa3fa866d842d8,EVT_00007,news18,Parse Error,Unknown,Neutral,0.0,LLM Parse Error
fffa3fa866d842d8_p011,fffa3fa866d842d8,EVT_00007,news18,Parse Error,Unknown,Neutral,0.0,LLM Parse Error
fffa3fa866d842d8_p012,fffa3fa866d842d8,EVT_00007,news18,Parse Error,Unknown,Neutral,0.0,LLM Parse Error
fffa3fa866d842d8_p013,fffa3fa866d842d8,EVT_00007,news18,Parse Error,Unknown,Neutral,0.0,LLM Parse Error
fffa3fa866d842d8_p014,fffa3fa866d842d8,EVT_00007,news18,Parse Error,Unknown,Neutral,0.0,LLM Parse Error
fffa3fa866d842d8_p015,fffa3fa866d842d8,EVT_00007,news18,Parse Error,Unknown,Neutral,0.0,LLM Parse Error
fffa3fa866d842d8_p016,fffa3fa866d842d8,EVT_00007,news18,Parse Error,Unknown,Neutral,0.0,LLM Parse Error
fffa3fa866d842d8_p017,fffa3fa866d842d8,EVT_00007,news18,Parse Error,Unknown,Neutral,0.0,LLM Parse Error
fffa3fa866d842d8_p018,fffa3fa866d842d8,EVT_00007,news18,Parse Error,Unknown,Neutral,0.0,LLM Parse Error
fffa3fa866d842d8_p019,fffa3fa866d842d8,EVT_00007,news18,Parse Error,Unknown,Neutral,0.0,LLM Parse Error
fffa3fa866d842d8_p020,fffa3fa866d842d8,EVT_00007,news18,Parse Error,Unknown,Neutral,0.0,LLM Parse Error
fffa3fa866d842d8_p021,fffa3fa866d842d8,EVT_00007,news18,Parse Error,Unknown,Neutral,0.0,LLM Parse Error
fffa3fa866d842d8_p022,fffa3fa866d842d8,EVT_00007,news18,Parse Error,Unknown,Neutral,0.0,LLM Parse Error
5a27006c568b3c76_p001,5a27006c568b3c76,EVT_00007,news18,Parse Error,Unknown,Neutral,0.0,LLM Parse Error
5a27006c568b3c76_p002,5a27006c568b3c76,EVT_00007,news18,Parse Error,Unknown,Neutral,0.0,LLM Parse Error
5a27006c568b3c76_p003,5a27006c568b3c76,EVT_00007,news18,Parse Error,Unknown,Neutral,0.0,LLM Parse Error
5a27006c568b3c76_p004,5a27006c568b3c76,EVT_00007,news18,Parse Error,Unknown,Neutral,0.0,LLM Parse Error
5a27006c568b3c76_p005,5a27006c568b3c76,EVT_00007,news18,Parse Error,Unknown,Neutral,0.0,LLM Parse Error
5a27006c568b3c76_p006,5a27006c568b3c76,EVT_00007,news18,Parse Error,Unknown,Neutral,0.0,LLM Parse Error
5a27006c568b3c76_p007,5a27006c568b3c76,EVT_00007,news18,Parse Error,Unknown,Neutral,0.0,LLM Parse Error
5a27006c568b3c76_p008,5a27006c568b3c76,EVT_00007,news18,Parse Error,Unknown,Neutral,0.0,LLM Parse Error
5a27006c568b3c76_p009,5a27006c568b3c76,EVT_00007,news18,Parse Error,Unknown,Neutral,0.0,LLM Parse Error
