article_id,event_id,passage_id,entity_mention,canonical_target
01424f0f5da0a0f6,EVT_00211,01424f0f5da0a0f6_p005,CJP,Cockroach Janta
01424f0f5da0a0f6,EVT_00211,01424f0f5da0a0f6_p010,CJP,Cockroach Janta
01424f0f5da0a0f6,EVT_00211,01424f0f5da0a0f6_p010,CPI,Communist
01424f0f5da0a0f6,EVT_00211,01424f0f5da0a0f6_p010,CPI(ML),Communist
01424f0f5da0a0f6,EVT_00211,01424f0f5da0a0f6_p010,Dipankar Bhattacharya,Dipankar Bhattacharya
01424f0f5da0a0f6,EVT_00211,01424f0f5da0a0f6_p010,Sonam Wangchuk,Sonam Wangchuk
06be4ffdd05a777c,EVT_00064,06be4ffdd05a777c_p007,Narendra Modi,PM Modi
06e89bf6e9ab74db,EVT_00213,06e89bf6e9ab74db_p003,Gopal Rao,Gopal Rao
06e89bf6e9ab74db,EVT_00213,06e89bf6e9ab74db_p012,BJP President Pankaj Chaudhary,BJP
06e89bf6e9ab74db,EVT_00213,06e89bf6e9ab74db_p012,Uttar Pradesh BJP,BJP
06e89bf6e9ab74db,EVT_00213,06e89bf6e9ab74db_p012,Samajwadi Party chief Akhilesh Yadav,Akhilesh Yadav
06e89bf6e9ab74db,EVT_00213,06e89bf6e9ab74db_p013,Akhilesh Yadav,Akhilesh Yadav
06e89bf6e9ab74db,EVT_00213,06e89bf6e9ab74db_p013,BJP,BJP
079dc3924a4e4b1f,EVT_00043,079dc3924a4e4b1f_p001,JD(U),JD
079dc3924a4e4b1f,EVT_00043,079dc3924a4e4b1f_p001,Nitish Kumar,Nitish Kumar
079dc3924a4e4b1f,EVT_00043,079dc3924a4e4b1f_p001,BJP,BJP
079dc3924a4e4b1f,EVT_00043,079dc3924a4e4b1f_p001,Samrat Choudhary,Choudhary
079dc3924a4e4b1f,EVT_00043,079dc3924a4e4b1f_p002,JD(U),JD
079dc3924a4e4b1f,EVT_00043,079dc3924a4e4b1f_p002,Nishant Kumar,Kumar
079dc3924a4e4b1f,EVT_00043,079dc3924a4e4b1f_p002,Bijendra Prasad Yadav,Yadav
079dc3924a4e4b1f,EVT_00043,079dc3924a4e4b1f_p002,Vijay Kumar Chaudhary,Chaudhary
079dc3924a4e4b1f,EVT_00043,079dc3924a4e4b1f_p003,Nitish Kumar-ji,Kumar
079dc3924a4e4b1f,EVT_00043,079dc3924a4e4b1f_p003,Nitish Kumar,Kumar
